3.525  0.01326  0.5813  0.1636  0.1254  0.03709  0.03709  0.03709  0.01844  0  0  0
2.157  0.3046  0.5828  0.1641  0.123  0.03719  0.03719  0.03719  0.01849  0  0  0
4.234  0.002953  0.581  0.1636  0.1258  0.03707  0.03707  0.03707  0.01844  0  0  0
4.141  0.003584  0.581  0.1636  0.1258  0.03707  0.03707  0.03707  0.01843  0  0  0
2.533  0.1215  0.5821  0.1639  0.1241  0.03714  0.03714  0.03714  0.01847  0  0  0
4.685  0.001166  0.5809  0.1635  0.126  0.03706  0.03706  0.03706  0.01843  0  0  0
2.288  0.2178  0.5826  0.164  0.1235  0.03717  0.03717  0.03717  0.01849  0  0  0
3.561  0.01224  0.5813  0.1636  0.1254  0.03709  0.03709  0.03709  0.01844  0  0  0
5.313  0.0003135  0.5807  0.1635  0.1262  0.03706  0.03706  0.03706  0.01842  0  0  0
3.859  0.006432  0.5811  0.1636  0.1256  0.03708  0.03708  0.03708  0.01844  0  0  0
3.43  0.01595  0.5813  0.1636  0.1253  0.03709  0.03709  0.03709  0.01845  0  0  0
5.45  0.0002327  0.5807  0.1635  0.1262  0.03705  0.03705  0.03705  0.01843  0  0  0
3.972  0.00508  0.5811  0.1636  0.1257  0.03708  0.03708  0.03708  0.01844  0  0  0
4.194  0.003222  0.581  0.1636  0.1258  0.03707  0.03707  0.03707  0.01844  0  0  0
4.649  0.001227  0.5809  0.1635  0.126  0.03706  0.03706  0.03706  0.01843  0  0  0
2.581  0.1074  0.5821  0.1639  0.1242  0.03714  0.03714  0.03714  0.01847  0  0  0
2.747  0.07284  0.5819  0.1638  0.1245  0.03713  0.03713  0.03713  0.01846  0  0  0
4.037  0.004386  0.581  0.1636  0.1257  0.03707  0.03707  0.03707  0.01844  0  0  0
2.182  0.2903  0.5828  0.1641  0.1231  0.03718  0.03718  0.03718  0.01849  0  0  0
2.122  0.3345  0.5829  0.1641  0.1229  0.03719  0.03719  0.03719  0.0185  0  0  0
2.206  0.2677  0.5827  0.164  0.1232  0.03718  0.03718  0.03718  0.01848  0  0  0
2.637  0.09329  0.582  0.1638  0.1243  0.03714  0.03714  0.03714  0.01846  0  0  0
5.248  0.0003519  0.5808  0.1635  0.1262  0.03706  0.03706  0.03706  0.01843  0  0  0
3.151  0.02948  0.5815  0.1637  0.125  0.0371  0.0371  0.0371  0.01845  0  0  0
4.109  0.003809  0.581  0.1636  0.1258  0.03707  0.03707  0.03707  0.01844  0  0  0
4.665  0.001208  0.5809  0.1635  0.126  0.03706  0.03706  0.03706  0.01843  0  0  0
5.729  0.0001296  0.5807  0.1635  0.1263  0.03705  0.03705  0.03705  0.01843  0  0  0
2.685  0.08563  0.5819  0.1638  0.1244  0.03713  0.03713  0.03713  0.01846  0  0  0
4.383  0.00217  0.5809  0.1635  0.1259  0.03707  0.03707  0.03707  0.01843  0  0  0
4.656  0.001208  0.5809  0.1635  0.126  0.03706  0.03706  0.03706  0.01843  0  0  0
3.467  0.01477  0.5813  0.1636  0.1253  0.03709  0.03709  0.03709  0.01845  0  0  0
2.714  0.07956  0.5819  0.1638  0.1244  0.03713  0.03713  0.03713  0.01846  0  0  0
